Time Stamp,,1-pH_Dev2,,2-DO_Dev2,,Agitation_Dev2,,Air_Dev2,,CO2_Dev2,,GasFlow_Dev2,N2_Dev2,O2_Dev2,,Pump1_Dev2,,Pump2_Dev2,,Pump3_Dev2,,Temperature_Dev2,,
1/23/2023  6:54:23 pm,,6.11,,42.01,,303,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  6:55:24 pm,,6.11,,41.2,,269,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  6:56:23 pm,,6.11,,38.67,,243,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  6:57:24 pm,,6.11,,35.23,,229,,100,,0,,1,0,0,,0,,0,,0,,27.99,,
1/23/2023  6:58:23 pm,,6.11,,31.22,,227,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  6:59:23 pm,,6.11,,27.32,,237,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:00:24 pm,,6.11,,24.25,,256,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:01:23 pm,,6.11,,23.09,,278,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:02:24 pm,,6.11,,23.73,,297,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:03:22 pm,,6.11,,25.45,,309,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:04:23 pm,,6.11,,27.14,,317,,100,,0,,0.98,0,0,,0,,0,,0,,28,,
1/23/2023  7:05:24 pm,,6.11,,28.29,,321,,100,,0,,1,0,0,,0,,0,,0,,28.01,,
1/23/2023  7:06:24 pm,,6.11,,29.78,,322,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:07:23 pm,,6.11,,30.74,,319,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:08:24 pm,,6.11,,31.61,,314,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:09:22 pm,,6.11,,32.04,,307,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:10:23 pm,,6.11,,32.16,,301,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:11:24 pm,,6.11,,32.23,,294,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:12:24 pm,,6.11,,32.21,,288,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:13:23 pm,,6.11,,32.11,,281,,100,,0,,1,0,0,,0,,0,,0,,28.01,,
1/23/2023  7:14:23 pm,,6.11,,31.15,,278,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:15:24 pm,,6.11,,30.84,,276,,100,,0,,1,0,0,,0,,0,,0,,27.99,,
1/23/2023  7:16:23 pm,,6.11,,29.94,,277,,100,,0,,0.98,0,0,,0,,0,,0,,28,,
1/23/2023  7:17:24 pm,,6.11,,29.21,,280,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:18:22 pm,,6.11,,28.74,,284,,100,,0,,1,0,0,,0,,0,,0,,28,,
1/23/2023  7:19:23 pm,,6.11,,28.49,,288,,100,,0,,1,0,0,,0,,0,,0,,28,,
