Time Stamp,1-pH_Dev1,2-DO_Dev1,Agitation_Dev1,Air_Dev1,CO2_Dev1,GasFlow_Dev1,N2_Dev1,O2_Dev1,Pump1_Dev1,Pump2_Dev1,Pump3_Dev1,Temperature_Dev1
1/23/2023  6:53:13 pm,6.03,29.23,332.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  6:54:13 pm,6.03,28.87,336.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  6:55:12 pm,6.03,29.09,338.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  6:56:13 pm,6.03,29.33,339.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  6:57:13 pm,6.03,29.55,342.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  6:58:12 pm,6.02,29.76,342.00,100.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  6:59:13 pm,6.03,29.90,342.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:00:14 pm,6.03,30.52,340.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:01:12 pm,6.03,30.42,340.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:02:13 pm,6.03,30.40,338.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:03:12 pm,6.03,30.32,337.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,27.99
1/23/2023  7:04:13 pm,6.03,29.98,337.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:05:13 pm,6.03,28.81,340.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:06:12 pm,6.03,28.56,344.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:07:13 pm,6.03,28.70,348.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:08:14 pm,6.03,29.17,351.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:09:12 pm,6.03,29.85,350.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:10:13 pm,6.03,30.21,350.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:11:13 pm,6.03,30.58,348.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:12:12 pm,6.03,30.71,346.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:13:12 pm,6.03,30.49,344.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:14:13 pm,6.03,29.61,345.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:15:14 pm,6.03,29.33,347.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:16:13 pm,6.03,29.31,349.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:17:13 pm,6.03,29.24,352.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:18:12 pm,6.03,29.29,354.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:19:12 pm,6.03,29.47,355.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
